id,cat,name,type,brand,desc,notes,conc,img,sample_price,30ml_price,50ml_price,100ml_price,250ml_price
1,feminine,Armaf Club De Nuit Woman,Exact Match,Elysean Perfumes,"A bold and seductive feminine fragrance featuring juicy fruits, rich florals, and a warm sweet base that radiates confidence and femininity.","Apple, Rose, Jasmine, Vanilla, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,179,236,343,576
2,feminine,Armani Si,Exact Match,Elysean Perfumes,"Elegant feminine scent with blackcurrant, rose, and warm vanilla musk.","Blackcurrant, Rose, Vanilla, Musk, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,188,253,381,669
3,feminine,Armani Si,Inspiration,Elysean Perfumes,"Elegant feminine scent with blackcurrant, rose, and warm vanilla musk.","Blackcurrant, Rose, Vanilla, Musk, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,222,313,501
4,feminine,Avon Faraway Rebel,Inspiration,Elysean Perfumes,Bold floral-oriental with spicy woods and a seductive musky trail.,"Floral, Oriental, Spicy, Woods, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,223,315,508
5,feminine,Avon Justine Faraway,Inspiration,Elysean Perfumes,Warm oriental fragrance with sweet floral heart and amber base.,"Oriental, Floral, Amber, Sweet, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,335,556
6,feminine,Avroy Shlain Coppelia,Inspiration,Elysean Perfumes,Soft romantic floral with powdery iris and warm sandalwood finish.,"Floral, Iris, Sandalwood, Powdery, Romantic",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,334,554
7,feminine,Avroy Shlain Endangered For Her,Inspiration,Elysean Perfumes,Delicate floral bouquet with fresh green notes and gentle musk.,"Floral, Green, Musk, Fresh, Delicate",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,176,230,330,545
8,feminine,Avroy Shlain Js,Inspiration,Elysean Perfumes,Light feminine fragrance with fresh florals and a clean musky base.,"Floral, Fresh, Musk, Clean, Light",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,335,556
9,feminine,Avroy Shlain Tabasheer,Inspiration,Elysean Perfumes,"Warm exotic scent with bamboo, soft florals, and creamy woods.","Bamboo, Floral, Woods, Creamy, Exotic",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,176,231,333,550
10,feminine,Azzaro Wanted For Her,Inspiration,Elysean Perfumes,"Sparkling floral-oriental with bergamot, jasmine, and warm vanilla.","Bergamot, Jasmine, Vanilla, Floral, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,181,240,351,597
11,feminine,B&B Works Beautiful Day,Exact Match,Elysean Perfumes,"Fresh floral blend with bright citrus, soft petals, and light musk.","Citrus, Floral, Petals, Musk, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,171,221,311,497
12,feminine,B&B Works Black Cherry Merlot White Barn,Exact Match,Elysean Perfumes,"Rich and intoxicating blend of dark cherry, ripe merlot, and warm vanilla with a touch of oak for a luxurious, sensual feel.","Black Cherry, Merlot, Vanilla, Oak, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,338,565
13,feminine,B&B Works Champagne Toast,Exact Match,Elysean Perfumes,"Festive sparkling scent with bubbly citrus, peach, and sweet musk.","Citrus, Peach, Musk, Sweet, Sparkling",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,223,314,504
